total_cup_points,species,country_of_origin,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,quakers,color,altitude_mean_meters
83.42,Arabica,Other,Bourbon,Washed / Wet,7.58,7.5,7.75,7.58,7.75,7.67,10,10,10,7.58,0.11,0,NA,1330
83.42,Arabica,Colombia,Caturra,Natural / Dry,7.58,7.67,7.58,7.67,7.58,7.67,10,10,10,7.67,0.12,0,Green,442
83.42,Arabica,Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,7.33,7.83,7.75,7.5,7.42,7.83,10,10,10,7.75,0.12,0,Green,NA
83.42,Arabica,"United Republic
Of Tanzania",Bourbon,Washed / Wet,7.75,7.67,7.58,7.67,7.58,7.58,10,10,10,7.58,0.13,0,Green,1600
83.42,Arabica,Colombia,Caturra,Washed / Wet,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10,10,7.58,0.12,0,Green,1813
83.42,Arabica,Guatemala,Bourbon,Natural / Dry,7.75,7.83,7.33,7.83,7.5,7.67,10,10,10,7.5,0.1,0,Green,1219.2
83.42,Arabica,Guatemala,Caturra,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.5,10,10,10,7.58,0.1,0,Green,1500
83.42,Arabica,Guatemala,Bourbon,Washed / Wet,7.67,7.5,7.75,7.42,7.75,7.75,10,10,10,7.58,0.11,0,Green,1310.64
83.42,Arabica,"United States
(Hawaii)",Hawaiian Kona,Natural / Dry,7.42,7.75,7.67,7.58,7.67,7.67,10,10,10,7.67,0,0,Green,NA
83.42,Arabica,Colombia,Caturra,Washed / Wet,7.5,7.75,7.58,7.5,7.67,7.75,10,10,10,7.67,0.11,0,Green,1450
83.42,Arabica,Colombia,NA,NA,7.58,7.58,7.58,7.67,7.75,7.67,10,10,10,7.58,0.1,0,NA,NA
83.42,Arabica,"United States
(Hawaii)",NA,NA,7.5,7.92,7.42,7.67,7.83,7.58,10,10,10,7.5,0.01,0,NA,NA
83.42,Arabica,Other,Other,NA,7.58,7.25,7.5,7.92,7.92,7.42,10,10,10,7.83,0.11,0,NA,NA
83.38,Arabica,Mexico,NA,NA,7.25,7.88,7.38,7.63,7.5,8.75,9,10,10,8,0.09,0,NA,1050
83.33,Arabica,Colombia,Caturra,Washed / Wet,7.75,7.5,7.75,7.58,7.58,7.58,10,10,10,7.58,0,1,NA,1650
83.33,Arabica,Colombia,Caturra,Washed / Wet,7.67,7.58,7.58,7.42,7.67,7.75,10,10,10,7.67,0,0,Blue-Green,NA
83.33,Arabica,Colombia,Caturra,Washed / Wet,7.83,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,0,0,Green,NA
83.33,Arabica,Brazil,Catuai,Semi-washed / Semi-pulped,7.5,7.83,7.33,7.58,7.58,7.92,10,10,10,7.58,0.1,0,Green,1227
83.33,Arabica,Mexico,Caturra,Washed / Wet,7.75,7.75,7.5,7.67,7.5,7.58,10,10,10,7.58,0.12,0,Green,1200
83.33,Arabica,Colombia,Caturra,Washed / Wet,7.67,7.75,7.42,7.83,7.83,7.42,10,10,10,7.42,0.11,0,Green,1650
83.33,Arabica,"United Republic
Of Tanzania",Other,Semi-washed / Semi-pulped,7.75,7.58,7.67,7.58,7.58,7.58,10,10,10,7.58,0.12,0,Green,1700
83.33,Arabica,Mexico,Other,Washed / Wet,7.67,7.67,7.58,7.67,7.5,7.58,10,10,10,7.67,0.12,0,Green,1100
83.33,Arabica,Costa Rica,Caturra,Washed / Wet,7.67,7.67,7.42,7.67,7.67,7.67,10,10,10,7.58,0.12,0,Green,1300
83.33,Arabica,"United States
(Hawaii)",Hawaiian Kona,Natural / Dry,7.83,7.58,7.83,7.67,7.92,8,9.33,10,9.33,7.83,0.11,0,Bluish-Green,NA
83.33,Arabica,Costa Rica,Catuai,Washed / Wet,7.5,7.67,7.67,7.5,7.83,7.17,10,10,10,8,0.11,0,Green,1200
83.33,Arabica,Other,NA,Washed / Wet,7.83,7.75,7.58,7.83,7.92,7.58,9.33,10,10,7.5,0.12,0,Green,NA
83.33,Arabica,Other,Typica,Washed / Wet,7.58,7.5,7.67,7.5,7.83,7.42,10,10,10,7.83,0.11,0,Green,1280.16
83.33,Arabica,Colombia,Caturra,Natural / Dry,7.67,7.67,7.5,7.67,7.92,7.42,10,10,10,7.5,0.11,0,Green,1000
83.33,Arabica,Guatemala,Bourbon,Washed / Wet,7.83,7.67,7.17,7.67,7.67,7.67,10,10,10,7.67,0.11,0,Green,1310.64
83.33,Arabica,"United States
(Hawaii)",Hawaiian Kona,Natural / Dry,7.92,7.5,7.58,7.83,7.67,7.67,9.33,10,10,7.83,0.1,0,Bluish-Green,NA
83.33,Arabica,Other,Bourbon,Washed / Wet,7.75,7.67,7.33,7.5,7.5,7.75,10,10,10,7.83,0,0,NA,1880
83.33,Arabica,Colombia,Caturra,Washed / Wet,7.5,7.67,7.67,7.58,7.67,7.58,10,10,10,7.67,0,0,Green,1750
83.33,Arabica,"United States
(Hawaii)",NA,NA,8.08,7.83,7.83,7.75,7.67,7.58,9.33,10,9.33,7.92,0.01,0,NA,NA
83.33,Arabica,"United States
(Hawaii)",NA,NA,7.58,7.67,7.58,7.5,7.83,7.67,10,10,10,7.5,0,0,NA,NA
83.25,Arabica,Mexico,Typica,Washed / Wet,7.67,7.83,7.42,7.83,7.33,7.5,10,10,10,7.67,0.11,0,Blue-Green,1600
83.25,Arabica,Costa Rica,Catuai,Pulped natural / honey,7.5,7.5,7.83,7.5,7.67,7.67,10,10,10,7.58,0.11,0,Green,1900
83.25,Arabica,Costa Rica,NA,Washed / Wet,7.83,7.5,7.42,7.67,7.5,7.67,10,10,10,7.67,0.11,0,NA,NA
83.25,Arabica,Guatemala,Other,Washed / Wet,7.5,7.58,7.42,7.83,7.67,7.58,10,10,10,7.67,0.11,2,Green,2100
83.25,Arabica,Other,SL14,Washed / Wet,7.5,7.67,7.67,7.42,7.67,7.67,10,10,10,7.67,0.12,0,Green,NA
83.25,Arabica,Brazil,NA,NA,7.58,7.67,7.42,7.5,7.67,7.42,10,10,10,8,0.12,0,Green,NA
83.25,Arabica,Colombia,Caturra,Natural / Dry,7.58,7.67,7.67,7.17,7.75,7.83,10,10,10,7.58,0,0,Green,442
83.25,Arabica,Mexico,Typica,Natural / Dry,7.83,7.75,7.5,7.58,7.58,7.58,10,10,10,7.42,0.12,0,Bluish-Green,1261
83.25,Arabica,Taiwan,Bourbon,Washed / Wet,7.67,7.5,7.5,7.5,7.67,7.83,10,10,10,7.58,0.1,0,Blue-Green,1000
83.25,Arabica,Taiwan,Typica,Washed / Wet,7.92,7.83,7.75,7.58,7.5,7.33,10,10,10,7.33,0.1,0,Green,800
83.25,Arabica,Colombia,Caturra,Natural / Dry,7.58,7.58,7.5,7.58,7.58,7.75,10,10,10,7.67,0,0,Green,1483
83.25,Arabica,Guatemala,Caturra,Washed / Wet,7.5,7.67,7.58,7.67,7.67,7.5,10,10,10,7.67,0.1,0,Green,1500
83.25,Arabica,Colombia,Caturra,Washed / Wet,7.83,7.5,7.67,7.33,7.67,7.67,10,10,10,7.58,0.11,0,Green,1750
83.25,Arabica,Mexico,Bourbon,Washed / Wet,7.58,7.75,7.5,7.5,7.58,7.58,10,10,10,7.75,0.12,0,Green,1300
83.25,Arabica,"United States
(Hawaii)",Hawaiian Kona,Natural / Dry,7.58,7.75,7.83,8,8.08,7.67,9.33,10,9.33,7.67,0.11,0,Bluish-Green,NA
83.25,Arabica,Mexico,Mundo Novo,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,0.13,0,Green,NA
83.25,Arabica,Mexico,Caturra,Washed / Wet,7.75,7.75,7.42,7.92,7.33,7.5,10,10,10,7.58,0.12,0,Blue-Green,1000
83.25,Arabica,Guatemala,Bourbon,Washed / Wet,7.83,7.58,7.08,7.83,7.42,8.08,10,10,10,7.42,0.11,0,Green,1310.64
83.25,Arabica,Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,7.75,7.67,7.5,7.58,7.58,7.58,10,10,10,7.58,0.11,0,Blue-Green,1200
83.25,Arabica,Colombia,Caturra,Washed / Wet,7.67,7.58,7.58,7.42,7.83,7.58,10,10,10,7.58,0.12,0,Green,175
83.25,Arabica,Colombia,Caturra,Washed / Wet,7.67,7.67,7.5,7.5,7.58,7.67,10,10,10,7.67,0.11,0,Green,1775
83.25,Arabica,Colombia,NA,NA,7.92,7.75,7.25,7.42,7.83,7.58,10,10,10,7.5,0.08,0,NA,1700
83.25,Arabica,Colombia,NA,NA,8,7.67,7.67,7.25,7.67,7.5,10,10,10,7.5,0.13,0,NA,1880
83.25,Arabica,Colombia,NA,NA,7.92,7.75,7.5,7.42,7.42,7.67,10,10,10,7.58,0.04,0,NA,1800
83.17,Arabica,Brazil,Bourbon,Natural / Dry,7.67,7.42,7.5,7.58,7.67,7.58,10,10,10,7.75,0.11,0,Green,890
83.17,Arabica,Guatemala,Bourbon,Washed / Wet,7.58,7.58,7.33,7.67,7.75,7.58,10,10,10,7.67,0.1,0,Green,1901
83.17,Arabica,"United Republic
Of Tanzania",Bourbon,Washed / Wet,7.67,7.58,7.42,7.67,7.67,7.58,10,10,10,7.58,0.12,0,Green,168
83.17,Arabica,Other,NA,NA,7.92,7.5,7.5,7.58,7.67,7.5,10,10,10,7.5,0.11,1,Green,NA
83.17,Arabica,Other,Catimor,Natural / Dry,7.58,7.42,7.08,7.33,7.58,8.58,10,10,10,7.58,0.07,0,None,1550
83.17,Arabica,Guatemala,Caturra,Washed / Wet,7.67,7.75,7.42,7.75,7.58,7.5,10,10,10,7.5,0.11,2,Green,1500
83.17,Arabica,Honduras,Catuai,Washed / Wet,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,0.11,1,Blue-Green,1450
83.17,Arabica,Other,Catimor,Washed / Wet,7.5,7.67,7.33,7.67,7.67,7.67,10,10,10,7.67,0.11,0,Green,1200
83.17,Arabica,Other,Catimor,Washed / Wet,7.67,7.67,7.5,7.67,7.42,7.58,10,10,10,7.67,0.1,0,Green,1600
83.17,Arabica,Other,Bourbon,Washed / Wet,7.5,7.5,7.33,7.67,8,7.67,10,10,10,7.5,0,0,Green,1350
83.17,Arabica,Guatemala,Bourbon,Washed / Wet,7.5,7.75,7.5,7.83,7.58,7.5,10,10,10,7.5,0.11,0,Green,1500
83.17,Arabica,Guatemala,Bourbon,Washed / Wet,7.92,7.67,7.42,7.75,7.5,7.5,10,10,10,7.42,0.12,0,Green,1650
83.17,Arabica,Other,Other,Washed / Wet,7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,7.83,0.1,0,Bluish-Green,250.5
83.17,Arabica,Other,NA,Washed / Wet,7.67,7.58,7.58,7.75,7.42,7.67,10,10,10,7.5,0.12,0,Bluish-Green,800
83.17,Arabica,"United Republic
Of Tanzania",Other,Washed / Wet,7.58,7.67,7.67,7.58,7.42,7.58,10,10,10,7.67,0.13,0,Bluish-Green,1653
83.17,Arabica,Colombia,Caturra,Washed / Wet,7.58,7.5,7.5,7.67,7.5,7.67,10,10,10,7.75,0,0,NA,1775
83.17,Arabica,Other,SL14,Washed / Wet,8,7.67,7.5,7.42,7.33,7.58,10,10,10,7.67,0.1,0,Bluish-Green,1800
83.17,Arabica,Colombia,NA,Washed / Wet,7.58,7.75,7.5,7.58,7.58,7.58,10,10,10,7.58,0.11,0,Green,NA
83.17,Arabica,Honduras,Catuai,Natural / Dry,7.5,7.5,7.5,7.67,7.67,7.67,10,10,10,7.67,0.1,0,Green,1450
83.17,Arabica,Honduras,Caturra,Natural / Dry,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,0.11,0,Green,1350
83.17,Arabica,Guatemala,Catuai,Washed / Wet,7.33,7.83,7.17,8.17,7.33,7.67,10,10,10,7.67,0.09,0,Green,1524
83.17,Arabica,"United States
(Hawaii)",Hawaiian Kona,Natural / Dry,7.5,7.5,7.58,7.42,7.92,7.67,10,10,10,7.58,0.11,0,Bluish-Green,NA
83.17,Arabica,"United Republic
Of Tanzania",Bourbon,Washed / Wet,7.58,7.5,7.58,7.75,7.58,7.58,10,10,10,7.58,0.12,0,Green,1800
83.17,Arabica,Guatemala,Bourbon,Washed / Wet,7.67,7.83,7.33,7.67,7.5,7.67,10,10,10,7.5,0.11,0,Green,1310.64
83.17,Arabica,Mexico,Typica,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.42,10,10,10,7.75,0.11,0,Green,1500
83.17,Arabica,Mexico,Typica,Washed / Wet,7.75,7.67,7.58,7.5,7.42,7.58,10,10,10,7.67,0.12,0,None,532
83.17,Arabica,Mexico,Other,Washed / Wet,7.58,7.75,7.42,7.67,7.5,7.58,10,10,10,7.67,0.14,0,None,1089
83.17,Arabica,Colombia,Caturra,Washed / Wet,7.67,7.5,7.5,7.5,7.58,8.17,10,10,10,7.25,0.11,0,Green,1775
83.17,Arabica,Mexico,Typica,Washed / Wet,7.75,7.5,7.42,7.75,7.58,7.58,10,10,10,7.58,0.13,0,Green,700
83.17,Arabica,Colombia,Caturra,Washed / Wet,7.58,7.67,7.5,7.58,7.67,7.67,10,10,10,7.5,0.11,0,Blue-Green,1750
83.17,Arabica,Mexico,Typica,Washed / Wet,7.5,7.75,7.58,7.58,7.67,7.5,10,10,10,7.58,0.11,0,NA,1380
83.17,Arabica,Brazil,Mundo Novo,Natural / Dry,7.75,7.67,7.58,7.5,7.58,7.58,10,10,10,7.5,0.12,0,Green,1000
83.17,Arabica,Brazil,Mundo Novo,Natural / Dry,7.92,7.58,7.5,7.58,7.42,7.5,10,10,10,7.67,0.11,0,Green,950
83.17,Arabica,Guatemala,Bourbon,Washed / Wet,7.75,7.5,7.67,7.5,7.92,8,10,10,9.33,7.5,0,0,Green,1402.08
83.17,Arabica,Brazil,Mundo Novo,Semi-washed / Semi-pulped,7.75,7.5,7.58,7.5,7.75,7.5,10,10,10,7.58,0.12,0,Blue-Green,1000
83.17,Arabica,Brazil,NA,NA,7.58,7.75,7.67,7.5,7.67,7.58,10,10,10,7.42,0.02,0,NA,900
83.17,Arabica,Other,NA,NA,7.42,7.83,8.17,8.08,7.17,7.58,10,9.33,10,7.58,0.14,0,NA,1200
83.17,Arabica,Ethiopia,NA,NA,7.75,8,7.67,8.08,7.83,7.92,9.33,9.33,9.33,7.92,0.01,0,NA,1850
83.08,Arabica,Colombia,Caturra,Washed / Wet,7.58,7.67,7.33,7.67,7.75,7.58,10,10,10,7.5,0,1,Green,1799
83.08,Arabica,Colombia,Caturra,Washed / Wet,7.75,7.5,7.5,7.42,8,7.75,10,10,10,7.17,0,2,Green,NA
83.08,Arabica,Brazil,Yellow Bourbon,Pulped natural / honey,7.58,7.58,7.58,7.5,7.67,7.58,10,10,10,7.58,0.11,2,Bluish-Green,905
83.08,Arabica,Brazil,Yellow Bourbon,Natural / Dry,7.33,7.67,7.67,7.33,7.75,7.42,10,10,10,7.92,0,0,Green,1
83.08,Arabica,Taiwan,Typica,Natural / Dry,7.83,7.92,7.5,7.83,7.67,7.25,9.33,10,10,7.75,0,0,Green,750
83.08,Arabica,Brazil,Mundo Novo,Natural / Dry,7.42,7.67,7.58,7.5,7.75,7.67,10,10,10,7.5,0.11,0,Green,NA
83.08,Arabica,Brazil,Bourbon,Washed / Wet,7.58,7.83,7.67,7.42,7.42,7.5,10,10,10,7.67,0,0,Green,1200
83.08,Arabica,Costa Rica,Catuai,Washed / Wet,7.83,7.33,7.5,7.67,7.58,7.67,10,10,10,7.5,0.1,0,Green,1300
83.08,Arabica,"United States
(Hawaii)",Hawaiian Kona,Natural / Dry,7.33,7.75,7.58,7.33,7.83,7.67,10,10,10,7.58,0.12,0,Bluish-Green,NA
83.08,Arabica,Taiwan,Typica,Other,7.75,7.75,7.5,7.5,7.5,7.5,10,10,10,7.58,0.11,0,NA,1300
83.08,Arabica,"United States
(Hawaii)",Hawaiian Kona,Natural / Dry,7.83,7.83,7.33,7.17,7.75,7.67,10,10,10,7.5,0.1,0,Bluish-Green,NA
83.08,Arabica,Mexico,Other,Washed / Wet,7.75,7.67,7.42,7.75,7.5,7.5,10,10,10,7.5,0.1,0,NA,1400
83.08,Arabica,"United States
(Hawaii)",Hawaiian Kona,Natural / Dry,7.67,7.58,7.5,7.67,7.92,8,9.33,9.33,10,8.08,0,0,NA,NA
83.08,Arabica,"United States
(Hawaii)",Hawaiian Kona,Washed / Wet,7.33,7.58,7.58,7.92,7.67,7.58,10,10,10,7.42,0.12,0,Green,NA
83.08,Arabica,Colombia,Caturra,NA,7.33,7.33,7.33,7.58,7.25,8.08,10,10,10,8.17,0.01,0,NA,1775
83.08,Arabica,Colombia,NA,NA,7.83,7.75,7.33,7.25,7.42,7.92,10,10,10,7.58,0.08,0,NA,1880
83.08,Arabica,Other,NA,NA,7.67,7.58,7.5,7.58,7.67,7.58,10,10,10,7.5,0,0,NA,1350
83.08,Arabica,Guatemala,NA,NA,7.92,7.67,7.67,7.25,7.83,7.67,9.33,10,10,7.75,0.02,0,NA,NA
83,Arabica,Brazil,Bourbon,Natural / Dry,7.58,7.5,7.5,7.75,7.67,7.5,10,10,10,7.5,0,0,Green,890
83,Arabica,Brazil,Bourbon,Natural / Dry,7.5,7.58,7.58,7.67,7.58,7.5,10,10,10,7.58,0.11,3,Green,894
83,Arabica,Brazil,Bourbon,Natural / Dry,7.5,7.67,7.58,7.67,7.58,7.42,10,10,10,7.58,0.11,2,Bluish-Green,872
83,Arabica,Other,Bourbon,Washed / Wet,7.67,7.58,7.42,7.42,7.83,7.5,10,10,10,7.58,0.12,0,Green,1473
83,Arabica,Other,Bourbon,Natural / Dry,7.67,7.67,7.5,7.58,7.42,7.5,10,10,10,7.67,0.12,5,Green,1645
83,Arabica,Colombia,NA,NA,7.67,7.67,7.33,7.67,7.5,7.58,10,10,10,7.58,0.11,0,Green,442
83,Arabica,Other,Caturra,Other,7.75,7.67,7.58,7.58,7.42,7.67,9.33,10,10,8,0,0,Green,1550
83,Arabica,Guatemala,Catuai,Washed / Wet,7.67,7.75,7.33,7.92,7.42,7.5,10,10,10,7.42,0.11,0,Green,1550
83,Arabica,Guatemala,Catuai,Washed / Wet,7.75,7.67,7.33,7.75,7.5,7.42,10,10,10,7.58,0.11,0,Green,1371.6
83,Arabica,Guatemala,Bourbon,Washed / Wet,7.83,7.67,7.25,7.67,7.75,7.5,10,10,10,7.33,0.11,0,Green,1500
83,Arabica,Brazil,Catuai,Natural / Dry,7.67,7.67,7.67,7.5,7.42,7.5,10,10,10,7.58,0,0,Green,1000
83,Arabica,Taiwan,Typica,Washed / Wet,7.92,7.92,7.83,7.58,7.33,7.25,10,10,10,7.17,0.08,0,Green,1200
83,Arabica,Other,SL14,Washed / Wet,7.83,7.58,7.5,7.5,7.58,7.5,10,10,10,7.5,0.12,0,Green,1800
83,Arabica,Other,Other,Washed / Wet,7.67,7.5,7.67,7.83,7.75,7.83,10,10,9.33,7.42,0,0,Bluish-Green,853.44
83,Arabica,Guatemala,Bourbon,Washed / Wet,7.67,7.67,7.42,7.83,7.5,7.5,10,10,10,7.42,0.1,0,Green,1500
83,Arabica,Costa Rica,Catuai,Washed / Wet,7.67,7.58,7.5,7.58,7.5,7.5,10,10,10,7.67,0.11,0,Green,1200
83,Arabica,Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,7.75,7.58,7.42,7.67,7.42,7.67,10,10,10,7.5,0.12,0,Bluish-Green,1250
83,Arabica,Colombia,Caturra,Washed / Wet,7.75,7.42,7.33,7.5,7.58,7.17,10,10,10,8.25,0.11,0,Green,1775
83,Arabica,Colombia,Caturra,Washed / Wet,7.83,7.5,7.58,7.33,7.5,7.67,10,10,10,7.58,0,0,Green,1750
83,Arabica,Colombia,Caturra,Natural / Dry,7.33,7.67,7.75,7.42,7.75,7.58,10,10,10,7.5,0.11,0,Green,1000
83,Arabica,Colombia,Caturra,Natural / Dry,7.58,7.75,7.42,7.67,7.58,7.42,10,10,10,7.58,0,0,Green,1000
83,Arabica,Colombia,Caturra,Washed / Wet,7.5,7.5,7.42,7.58,7.75,7.58,10,10,10,7.67,0.11,0,Green,1775
83,Arabica,Mexico,Typica,Washed / Wet,7.67,7.58,7.42,7.5,7.67,7.58,10,10,10,7.58,0.11,0,Green,750
83,Arabica,Mexico,Typica,Semi-washed / Semi-pulped,7.67,7.83,7.5,7.58,7.58,7.67,9.33,10,10,7.83,0.11,0,Green,1200
83,Arabica,Mexico,Bourbon,Washed / Wet,7.5,7.67,7.5,7.5,7.58,7.58,10,10,10,7.67,0.11,0,Green,1200
83,Arabica,Colombia,Other,Natural / Dry,7.67,7.58,7.5,7.5,7.75,7.5,10,10,10,7.5,0,0,NA,NA
83,Arabica,Colombia,Caturra,Washed / Wet,7.75,7.58,7.5,7.67,7.83,7.75,9.33,10,10,7.58,0,0,Green,1625
83,Arabica,Colombia,Caturra,Washed / Wet,7.67,7.58,7.58,7.58,7.67,7.42,10,10,10,7.5,0.11,0,Green,1750
83,Arabica,Guatemala,Bourbon,Washed / Wet,7.5,7.67,7.5,7.67,7.5,7.83,10,10,10,7.33,0.1,0,Green,1371.6
83,Arabica,Colombia,Caturra,Washed / Wet,7.67,7.67,7.58,7.5,7.67,7.42,10,10,10,7.5,0.12,0,Bluish-Green,1775
83,Arabica,Other,NA,NA,7.33,7.67,7.58,7.5,7.75,7.67,10,10,10,7.5,0.28,0,NA,NA
83,Arabica,Colombia,NA,NA,7.33,7.67,7.58,7.33,7.58,7.92,10,10,10,7.58,0.08,0,NA,1450
83,Arabica,"United States
(Hawaii)",NA,NA,7.83,7.83,7.67,7.83,7.92,7.83,9.33,9.33,9.33,8.08,0,0,NA,NA
83,Arabica,"United States
(Hawaii)",NA,NA,7.5,7.58,7.42,7.58,7.58,7.67,10,10,10,7.67,0,0,NA,NA
83,Arabica,Colombia,NA,NA,7.5,7.58,7.67,7.67,7.58,7.58,10,10,10,7.42,0.06,0,NA,1800
83,Arabica,Other,Caturra,NA,7.58,7.83,7.75,7.92,7.92,8.08,9.33,9.33,9.33,7.92,0.07,0,NA,NA
83,Arabica,Other,NA,NA,7.5,7.25,7.42,7.75,8.17,7.5,10,10,10,7.42,0,0,NA,NA
82.92,Arabica,Brazil,Bourbon,Natural / Dry,7.67,7.58,7.5,7.58,7.58,7.5,10,10,10,7.5,0,0,Green,890
82.92,Arabica,Other,Bourbon,Washed / Wet,7.5,7.5,7.75,7.58,7.92,7.83,10,10,9.33,7.5,0,0,Green,1350
82.92,Arabica,Colombia,Caturra,Washed / Wet,7.58,7.67,7.5,7.33,7.67,7.58,10,10,10,7.58,0.11,0,Green,1500
82.92,Arabica,Taiwan,Caturra,Natural / Dry,7.17,7.83,7.25,7.67,7.67,7.58,10,10,10,7.75,0.09,0,Green,350
82.92,Arabica,Ethiopia,Other,Washed / Wet,7.58,7.58,7.5,7.5,7.58,7.58,10,10,10,7.58,0,0,Bluish-Green,2000
82.92,Arabica,Taiwan,Typica,Natural / Dry,7.5,7.58,7.67,7.33,7.5,7.75,10,10,10,7.58,0,0,Green,775
82.92,Arabica,Other,Other,Washed / Wet,7.58,7.58,7.67,7.58,7.5,7.5,10,10,10,7.5,0.11,0,Blue-Green,1200
82.92,Arabica,Other,Other,Washed / Wet,8.08,7.5,7.67,7.42,7.33,7.5,10,10,10,7.42,0,0,Bluish-Green,1600
82.92,Arabica,Mexico,Typica,Natural / Dry,7.83,7.67,7.25,7.58,7.5,7.5,10,10,10,7.58,0.13,0,Blue-Green,1059
82.92,Arabica,Mexico,Bourbon,Washed / Wet,7.75,7.67,7.42,7.42,7.75,7.5,10,10,10,7.42,0.12,0,Bluish-Green,1300
82.92,Arabica,Brazil,Other,Semi-washed / Semi-pulped,7.08,7.5,7.5,7.83,7.75,7.67,10,10,10,7.58,0.11,0,Green,11000
82.92,Arabica,Other,SL14,Washed / Wet,8,7.5,7.5,7.58,7.33,7.42,10,10,10,7.58,0.12,0,Green,1650
82.92,Arabica,Other,SL14,Washed / Wet,7.75,7.58,7.58,7.5,7.5,7.5,10,10,10,7.5,0.12,0,Green,1400
82.92,Arabica,Guatemala,Bourbon,Washed / Wet,7.75,7.5,7.42,7.58,7.67,7.5,10,10,10,7.5,0.1,0,Green,1500
82.92,Arabica,Guatemala,Caturra,Natural / Dry,7.67,7.83,7.42,7.5,7.33,7.5,10,10,10,7.67,0.1,0,Green,1500
82.92,Arabica,Guatemala,NA,Washed / Wet,7.58,7.58,7.25,7.58,7.58,7.58,10,10,10,7.75,0.1,0,Green,NA
82.92,Arabica,Colombia,Caturra,Washed / Wet,7.58,7.5,7.75,7.33,7.58,7.58,10,10,10,7.58,0.11,0,Green,1900
82.92,Arabica,Colombia,Caturra,Natural / Dry,7.75,7.5,7.25,7.5,7.75,7.5,10,10,10,7.67,0,0,Bluish-Green,1750
82.92,Arabica,Guatemala,Bourbon,Washed / Wet,7.83,7.75,7.25,7.92,7.5,7.17,10,10,10,7.5,0.11,0,Green,1706.88
82.92,Arabica,Colombia,Other,Washed / Wet,7.83,7.67,7.42,7.42,7.5,7.58,10,10,10,7.5,0.11,0,Green,1450
82.92,Arabica,Mexico,Typica,Natural / Dry,7.58,7.58,7.33,7.25,7.58,7.75,10,10,10,7.83,0.1,0,Green,1248
82.92,Arabica,Other,Other,Natural / Dry,7.67,7.33,7.17,7.58,8.08,7.42,10,10,10,7.67,0,0,None,1040
82.92,Arabica,Mexico,Typica,Washed / Wet,8,7.92,7.67,7.17,7.67,7.42,9.33,10,10,7.75,0.14,0,Green,1400
82.92,Arabica,"United States
(Hawaii)",Hawaiian Kona,Washed / Wet,7.5,7.5,7.5,7.42,7.67,7.83,10,10,10,7.5,0.1,0,Green,NA
82.92,Arabica,Colombia,NA,NA,7.5,7.75,7.33,7.75,7.08,7.83,10,10,10,7.67,0.15,0,NA,1450
82.92,Arabica,Other,NA,NA,7.42,7.58,7.5,7.17,7.5,8,10,10,10,7.75,0,0,NA,NA
82.83,Arabica,Other,Other,Washed / Wet,7.75,7.58,7.42,7.58,7.5,7.5,10,10,10,7.5,0.1,0,Green,1754
82.83,Arabica,Guatemala,Bourbon,Washed / Wet,7.5,7.58,7.33,7.67,7.58,7.58,10,10,10,7.58,0.11,1,Green,1700
82.83,Arabica,Brazil,Yellow Bourbon,Pulped natural / honey,7.67,7.58,7.58,7.5,7.5,7.42,10,10,10,7.58,0.11,2,Bluish-Green,905
82.83,Arabica,Other,Other,Washed / Wet,7.33,7.67,7.67,7.83,7.33,7.67,10,10,10,7.33,0,0,Green,1250
82.83,Arabica,Other,Bourbon,Washed / Wet,7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,9.33,8,0.11,0,Bluish-Green,1900
82.83,Arabica,Other,Other,Other,7.25,7.58,7.5,7.42,7.75,7.42,10,10,10,7.92,0.11,0,Green,1040
82.83,Arabica,Guatemala,Bourbon,Washed / Wet,7.58,7.58,7.33,7.67,7.67,7.5,10,10,10,7.5,0.11,0,Green,1219.2
82.83,Arabica,Brazil,Catuai,Natural / Dry,7.58,7.83,7.33,7.67,7.42,7.33,10,10,10,7.67,0.12,0,Green,900
82.83,Arabica,Colombia,Other,Washed / Wet,7.83,7.67,7.5,7.58,7.5,7.67,10,10,10,7.08,0,0,NA,1600
82.83,Arabica,Other,Other,Other,7.42,7.58,7.25,7.5,7.75,7.75,10,10,10,7.58,0,0,NA,1200
82.83,Arabica,Guatemala,Bourbon,Washed / Wet,7.67,7.67,7.75,7.67,7.42,7.17,10,10,10,7.5,0.1,0,Green,1500
82.83,Arabica,Colombia,Typica,Natural / Dry,7.5,7.42,7.58,7.5,7.58,7.58,10,10,10,7.67,0,0,Green,1800
