total_cup_points,species,country_of_origin,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,quakers,color,altitude_mean_meters
84.67,Arabica,Other,NA,NA,7.67,7.83,7.75,7.75,7.92,7.83,10,10,10,7.92,0,0,NA,NA
84.67,Arabica,Ethiopia,NA,NA,7.42,7.75,7.75,8,8,7.92,10,10,10,7.83,0.2,0,NA,1750
84.58,Arabica,Other,Other,Washed / Wet,7.92,7.75,7.83,7.75,7.58,7.92,10,10,10,7.83,0.11,0,Blue-Green,1754
84.58,Arabica,Colombia,Other,Washed / Wet,7.83,7.67,7.58,7.92,7.67,7.83,10,10,10,8.08,0,0,Blue-Green,1500
84.58,Arabica,Colombia,Caturra,Washed / Wet,7.92,7.83,7.58,8,7.83,7.67,10,10,10,7.75,0,1,Green,NA
84.58,Arabica,Other,Other,Washed / Wet,7.83,7.83,7.83,7.75,7.58,7.83,10,10,10,7.92,0.1,0,Bluish-Green,1800
84.58,Arabica,Guatemala,Other,Washed / Wet,7.75,7.83,7.67,7.92,7.75,7.83,10,10,10,7.83,0.11,0,Green,1524
84.58,Arabica,Guatemala,Bourbon,Washed / Wet,8,7.92,7.67,7.58,7.58,7.67,10,10,10,8.17,0.09,0,Green,1219.2
84.58,Arabica,Colombia,Caturra,Washed / Wet,7.67,7.67,7.58,7.75,7.58,8.5,10,10,10,7.83,0,0,NA,1550
84.58,Arabica,Colombia,Caturra,Washed / Wet,7.75,7.75,7.83,7.75,7.58,8,10,10,10,7.92,0,0,NA,1750
84.58,Arabica,Other,Other,Washed / Wet,7.75,7.75,7.75,8.08,7.75,7.75,10,10,10,7.75,0,0,Green,NA
84.58,Arabica,Colombia,Caturra,Washed / Wet,7.67,7.83,7.83,8,7.58,7.92,10,10,10,7.75,0,0,Green,1750
84.58,Arabica,Costa Rica,Bourbon,Semi-washed / Semi-pulped,7.75,7.83,7.75,8,7.83,7.67,10,10,10,7.75,0.12,0,Bluish-Green,1575
84.58,Arabica,Colombia,Caturra,Washed / Wet,7.42,7.67,7.75,7.75,8.08,7.83,10,10,10,8.08,0.11,0,Green,1800
84.58,Arabica,Brazil,Bourbon,Semi-washed / Semi-pulped,8,8,7.75,7.75,7.58,7.75,10,10,10,7.75,0.12,0,Green,1300
84.58,Arabica,Brazil,Catuai,Semi-washed / Semi-pulped,8.5,8,7.5,7.75,7.5,7.83,10,10,10,7.5,0.11,0,Blue-Green,1100
84.5,Arabica,Costa Rica,Caturra,Washed / Wet,7.92,7.67,7.92,7.75,7.67,7.58,10,10,10,8,0.1,0,Bluish-Green,1200
84.5,Arabica,Other,SL14,Washed / Wet,7.92,7.75,7.67,7.75,7.83,7.75,10,10,10,7.83,0.11,0,Green,1750
84.5,Arabica,Other,Catimor,Washed / Wet,7.75,7.92,7.67,7.83,7.75,7.67,10,10,10,7.92,0.1,0,Green,1680
84.5,Arabica,Costa Rica,Caturra,Washed / Wet,7.92,7.83,7.83,7.83,7.58,7.58,10,10,10,7.92,0.11,0,Green,1700
84.5,Arabica,Colombia,Other,Washed / Wet,8.08,7.67,7.83,7.83,7.67,7.67,10,10,10,7.75,0.12,0,Green,1800
84.5,Arabica,Other,Other,Washed / Wet,7.67,8,7.75,7.83,7.75,7.58,10,10,10,7.92,0,0,Green,1100
84.5,Arabica,Guatemala,Bourbon,Washed / Wet,8.17,7.83,7.67,7.83,7.67,7.83,10,10,10,7.5,0.11,0,Green,1310.64
84.5,Arabica,Other,Other,Washed / Wet,7.92,7.83,7.67,8,7.67,7.75,10,10,10,7.67,0.11,0,Blue-Green,2000
84.5,Arabica,Mexico,Typica,Washed / Wet,8,7.92,7.42,8.08,7.5,7.67,10,10,10,7.92,0.12,0,Green,1350
84.5,Arabica,Mexico,Typica,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.83,10,10,10,7.67,0.11,0,NA,1500
84.5,Arabica,Guatemala,Bourbon,Washed / Wet,7.67,8,7.67,8,7.5,7.83,10,10,10,7.83,0.11,0,Green,NA
84.5,Arabica,Brazil,NA,NA,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10,10,8.13,0,0,NA,NA
84.5,Arabica,Brazil,NA,NA,8.17,7.67,7.75,7.75,7.67,7.75,10,10,10,7.75,0,0,NA,NA
84.42,Arabica,Costa Rica,Caturra,Washed / Wet,7.58,7.83,7.83,8,7.67,7.58,10,10,10,7.92,0.1,0,Blue-Green,1300
84.42,Arabica,Other,Other,Other,7.67,7.67,7.83,7.58,7.83,7.83,10,10,10,8,0,0,Blue-Green,1400
84.42,Arabica,Colombia,Caturra,Natural / Dry,7.92,7.83,7.75,7.67,7.92,7.67,10,10,10,7.67,0,0,Green,NA
84.42,Arabica,Colombia,Caturra,Washed / Wet,7.92,7.75,7.67,7.92,7.67,7.75,10,10,10,7.75,0,0,Green,1775
84.42,Arabica,Taiwan,Typica,Washed / Wet,7.83,7.83,7.75,8,7.5,7.75,10,10,10,7.75,0.11,0,Blue-Green,1200
84.42,Arabica,"United States
(Hawaii)",Hawaiian Kona,Natural / Dry,7.92,7.92,7.5,7.83,7.5,7.92,10,10,10,7.83,0.11,0,Blue-Green,NA
84.42,Arabica,Mexico,Other,Washed / Wet,7.75,7.92,7.75,7.67,7.83,7.67,10,10,10,7.83,0.12,0,NA,900
84.42,Arabica,Ethiopia,NA,NA,7.5,7.75,7.83,7.92,7.92,7.75,10,10,10,7.75,0.2,0,NA,NA
84.33,Arabica,Other,Other,Washed / Wet,7.33,7.58,7.83,7.75,7.75,7.92,10,10,10,8.17,0.11,0,Green,1800
84.33,Arabica,Honduras,Caturra,NA,7.92,8,7.75,7.67,7.67,7.75,10,10,10,7.58,0.1,0,Green,1500
84.33,Arabica,Colombia,Caturra,Washed / Wet,7.58,7.75,7.5,7.83,7.67,8.5,10,10,10,7.5,0,3,Green,NA
84.33,Arabica,Honduras,Catuai,Washed / Wet,7.58,7.92,7.58,7.75,7.92,7.75,10,10,10,7.83,0.11,1,Green,1500
84.33,Arabica,Colombia,NA,NA,7.67,7.67,7.75,7.83,7.75,7.83,10,10,10,7.83,0,2,NA,NA
84.33,Arabica,Colombia,Caturra,Natural / Dry,7.75,7.67,8,7.67,8.08,7.83,10,10,10,7.33,0.11,0,Green,442
84.33,Arabica,Colombia,Caturra,Washed / Wet,7.75,7.58,7.33,7.83,7.58,8.08,10,10,10,8.17,0,0,Green,1800
84.33,Arabica,Mexico,Typica,Washed / Wet,8,7.75,7.75,7.83,7.5,7.67,10,10,10,7.83,0.12,0,Blue-Green,1700
84.33,Arabica,Brazil,Yellow Bourbon,NA,8.17,8,7.5,7.75,7.5,7.67,10,10,10,7.75,0,0,NA,1275
84.33,Arabica,Brazil,NA,NA,8,8,7.5,7.5,7.67,7.75,10,10,10,7.92,0.02,0,NA,1050
84.33,Arabica,Ethiopia,NA,NA,7.75,7.75,7.92,7.75,7.5,7.92,10,10,10,7.75,0,0,NA,1493.52
84.33,Arabica,Guatemala,NA,NA,7.5,7.67,7.75,7.67,7.92,7.92,10,10,10,7.92,0.04,0,NA,1386.84
84.25,Arabica,Taiwan,Typica,Washed / Wet,7.92,7.75,7.75,7.67,7.67,7.83,10,10,10,7.67,0.12,0,Blue-Green,1000
